stem,selected,num_boxes_before,num_boxes_after,changed,per_box_strategies
Aphids_148,1,0,0,0,
Aphids_157,1,0,0,0,
Aphids_249,1,0,0,0,
Aphids_286,1,0,0,0,
Aphids_485,1,0,0,0,
Aphids_50,1,0,0,0,
Aphids_692,1,0,0,0,
Aphids_697,1,0,0,0,
Aphids_727,1,0,0,0,
Aphids_729,1,0,0,0,
Aphids_793,1,0,0,0,
Aphids_801,1,0,0,0,
Aphids_849,1,0,0,0,
Aphids_934,0,0,0,0,
Aphids_994,1,0,0,0,
Army_worm_0,1,0,0,0,
Army_worm_128,0,0,0,0,
Army_worm_162,1,0,0,0,
Army_worm_198,0,0,0,0,
Army_worm_202,1,0,0,0,
Army_worm_288,1,0,0,0,
Army_worm_352,1,0,0,0,
Army_worm_380,1,0,0,0,
Army_worm_414,1,0,0,0,
Army_worm_464,1,0,0,0,
Army_worm_499,1,0,0,0,
Army_worm_537,1,0,0,0,
Army_worm_613,1,0,0,0,
Army_worm_614,1,0,0,0,
Army_worm_94,1,0,0,0,
Corn_Blight_1037,0,0,0,0,
Corn_Blight_1061,1,0,0,0,
Corn_Blight_108,0,0,0,0,
Corn_Blight_1115,1,0,0,0,
Corn_Blight_1154,1,0,0,0,
Corn_Blight_184,1,0,0,0,
Corn_Blight_229,1,0,0,0,
Corn_Blight_267,1,0,0,0,
Corn_Blight_450,0,0,0,0,
Corn_Blight_507,0,0,0,0,
Corn_Blight_530,1,0,0,0,
Corn_Blight_620,0,0,0,0,
Corn_Blight_828,0,0,0,0,
Corn_Blight_89,0,0,0,0,
Corn_Blight_893,0,0,0,0,
Corn_Common_Rust (1074),1,0,0,0,
Corn_Common_Rust (1110),1,0,0,0,
Corn_Common_Rust (1153),1,0,0,0,
Corn_Common_Rust (1177),1,0,0,0,
Corn_Common_Rust (1181),0,0,0,0,
Corn_Common_Rust (348),1,0,0,0,
Corn_Common_Rust (501),1,0,0,0,
Corn_Common_Rust (568),1,0,0,0,
Corn_Common_Rust (625),0,0,0,0,
Corn_Common_Rust (634),0,0,0,0,
Corn_Common_Rust (703),1,0,0,0,
Corn_Common_Rust (784),1,0,0,0,
Corn_Common_Rust (842),0,0,0,0,
Corn_Common_Rust (952),1,0,0,0,
Corn_Common_Rust (981),0,0,0,0,
Corn_Health (104),1,0,0,0,
Corn_Health (1082),1,0,0,0,
Corn_Health (1151),0,0,0,0,
Corn_Health (122),1,0,0,0,
Corn_Health (328),1,0,0,0,
Corn_Health (401),1,0,0,0,
Corn_Health (439),1,0,0,0,
Corn_Health (475),1,0,0,0,
Corn_Health (700),1,0,0,0,
Corn_Health (703),0,0,0,0,
Corn_Health (807),1,0,0,0,
Corn_Health (871),1,0,0,0,
Corn_Health (929),1,0,0,0,
Corn_Health (958),1,0,0,0,
Corn_Health (976),1,0,0,0,
Corn_borer_118,1,0,0,0,
Corn_borer_146,0,0,0,0,
Corn_borer_154,1,0,0,0,
Corn_borer_236,1,0,0,0,
Corn_borer_330,1,0,0,0,
Corn_borer_524,0,0,0,0,
Corn_borer_556,1,0,0,0,
Corn_borer_622,1,0,0,0,
Corn_borer_628,0,0,0,0,
Corn_borer_634,1,0,0,0,
Corn_borer_680,0,0,0,0,
Corn_borer_828,1,0,0,0,
Corn_borer_895,1,0,0,0,
Corn_borer_96,1,0,0,0,
Corn_borer_970,1,0,0,0,
Gray_Leaf_Spot_136,1,0,0,0,
Gray_Leaf_Spot_139,1,0,0,0,
Gray_Leaf_Spot_145,1,0,0,0,
Gray_Leaf_Spot_152,1,0,0,0,
Gray_Leaf_Spot_227,1,0,0,0,
Gray_Leaf_Spot_234,0,0,0,0,
Gray_Leaf_Spot_261,1,0,0,0,
Gray_Leaf_Spot_29,1,0,0,0,
Gray_Leaf_Spot_351,0,0,0,0,
Gray_Leaf_Spot_361,1,0,0,0,
Gray_Leaf_Spot_404,1,0,0,0,
Gray_Leaf_Spot_490,1,0,0,0,
Gray_Leaf_Spot_520,1,0,0,0,
Gray_Leaf_Spot_554,1,0,0,0,
Gray_Leaf_Spot_67,0,0,0,0,
